srrhogstaar;srrtrealder;Shape_Length;Shape_Area;srrtrealder_l;srrtrealder_u;srrtreslag;srrbmo;srrbmo_l;srrbmo_u;srrbmu;srrbmu_l;srrbmu_u;srrvolmb;srrvolmb_l;srrvolmb_u;srrvolub;srrvolub_l;srrvolub_u;srrmhoyde;srrmhoyde_l;srrmhoyde_u;srrohoyde;srrohoyde_l;srrohoyde_u;srrbonitet;srrdiammiddel;srrdiammiddel_l;srrdiammiddel_u;srrdiammiddel_ge8;srrdiammiddel_ge8_l;srrdiammiddel_ge8_u;srrgrflate;srrgrflate_l;srrgrflate_u;srrtreantall;srrtreantall_l;srrtreantall_u;srrtreantall_ge8;srrtreantall_ge8_l;srrtreantall_ge8_u;srrtreantall_ge10;srrtreantall_ge10_l;srrtreantall_ge10_u;srrtreantall_ge16;srrtreantall_ge16_l;srrtreantall_ge16_u;srrlai;srrlai_l;srrlai_u;srrkronedek;elev_min;elev_mean;elev_max;markfukt;argrunnf;artype;loc_lat;loc_long
0;;31,882800001651049;63,532058136580112;65;181;1;39;0;85;11;0;23;49;0;119;42;0;102;124;89;159;151;113;190;6;17;8;26;19;11;27;9;0;19;717;0;1568;500;0;1101;366;0;819;118;0;351;288;0;667;15;215,197937011718750;215,931183263659364;216,400329589843750;5;44;30;64,271831980000002;11,156218429999999
0;;31,940200001001358;63,760800004005432;65;181;1;39;0;85;11;0;23;49;0;119;42;0;102;124;89;159;151;113;190;6;17;8;26;19;11;27;9;0;19;717;0;1568;500;0;1101;366;0;819;118;0;351;288;0;667;15;213,265625000000000;214,370046108960935;215,515579223632812;5;44;30;64,271836320000006;11,156383220000000
0;;31,940200001001358;63,760800004005432;63;176;1;47;0;97;14;0;27;61;0;137;51;0;117;121;86;155;149;110;187;8;16;8;25;18;10;26;12;1;22;651;0;1862;519;0;1374;400;0;1044;192;0;524;347;0;726;14;209,925003051757812;211,639745518565121;213,366928100585938;5;44;30;64,271840650000001;11,156548010000000
0;;31,940200001001358;63,760800004005432;63;176;1;47;0;97;14;0;27;61;0;137;51;0;117;121;86;155;149;110;187;8;16;8;25;18;10;26;12;1;22;651;0;1862;519;0;1374;400;0;1044;192;0;524;347;0;726;14;207,116851806640625;209,243894904852027;210,620498657226562;5;44;30;64,271844990000005;11,156712810000000
0;;31,940200001001358;63,760800004005432;86;239;1;75;12;137;20;4;37;105;11;200;89;7;171;149;114;184;178;139;216;8;18;9;28;20;12;29;17;4;30;778;0;2208;613;0;1622;485;0;1245;237;0;628;474;94;853;37;203,776885986328125;205,732024967670327;208,259155273437500;5;44;30;64,271849320000001;11,156877600000000
0;;31,940200001001358;63,760800004005432;86;239;1;75;12;137;20;4;37;105;11;200;89;7;171;149;114;184;178;139;216;8;18;9;28;20;12;29;17;4;30;778;0;2208;613;0;1622;485;0;1245;237;0;628;474;94;853;37;201,490600585937500;202,821322903036844;204,471740722656250;5;44;30;64,271853660000005;11,157042400000000
0;;31,940200001001358;63,760800004005432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200,878631591796875;201,230293646455067;201,900085449218750;5;45;60;64,271857990000001;11,157207189999999
0;;31,940200001001358;63,760800004005432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200,332122802734375;200,675075843930017;201,005447387695312;5;45;60;64,271862330000005;11,157371980000001
0;;31,940200001001358;63,760800004005432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;199,367050170898438;200,032560110092504;200,488769531250000;5;45;60;64,271866660000001;11,157536779999999
0;;31,940200001001358;63,760800004005432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;198,312881469726562;198,994370877742966;199,614379882812500;5;45;60;64,271870989999996;11,157701570000000
0;;31,940200001001358;63,760800004005432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;196,399261474609375;197,510797485709077;198,618087768554688;5;45;60;64,271875330000000;11,157866360000000
0;;31,940200001001358;63,760800004005432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;194,893997192382812;195,930025562644062;197,108779907226562;5;45;60;64,271879659999996;11,158031160000000
0;;31,940200001001358;63,760800004005432;73;205;1;60;5;115;17;2;31;83;0;167;70;0;143;132;97;167;159;121;198;8;17;8;26;19;11;27;14;2;25;711;0;1993;620;0;1525;490;0;1171;224;0;575;396;16;775;28;194,236145019531250;194,630211681127605;195,453750610351562;5;45;60;64,271883990000006;11,158195950000000
0;;31,940200001001358;63,760800004005432;73;205;1;60;5;115;17;2;31;83;0;167;70;0;143;132;97;167;159;121;198;8;17;8;26;19;11;27;14;2;25;711;0;1993;620;0;1525;490;0;1171;224;0;575;396;16;775;28;192,760925292968750;193,774348050355940;194,572387695312500;5;45;60;64,271888329999996;11,158360750000000
0;;31,940200001001358;63,760800004005432;46;148;1;92;23;161;24;6;43;134;29;238;114;23;204;146;111;180;175;136;214;8;18;8;28;20;11;29;20;5;35;751;0;2413;645;0;1819;553;0;1437;337;0;791;551;172;930;50;189,876602172851562;191,825396746396876;193,206176757812500;5;44;30;64,271892660000006;11,158525539999999
